forecastTimeUtc,airTemperature,feelsLikeTemperature,windSpeed,windGust,windDirection,cloudCover,seaLevelPressure,relativeHumidity,totalPrecipitation,conditionCode
2024-06-13 08:00:00,18.3,18.3,1,4,58,96,1017,48,0.0,cloudy
2024-06-13 09:00:00,19.0,19.0,0,4,141,90,1017,43,0.0,cloudy
2024-06-13 10:00:00,19.8,19.8,1,4,153,83,1017,37,0.0,cloudy
2024-06-13 11:00:00,19.9,19.9,1,4,215,80,1017,33,0.0,cloudy
2024-06-13 12:00:00,20.6,20.6,1,5,9,83,1017,30,0.0,cloudy
2024-06-13 13:00:00,20.8,20.8,2,6,31,86,1016,30,0.0,cloudy
2024-06-13 14:00:00,20.4,20.4,1,5,42,99,1016,29,0.0,cloudy
2024-06-13 15:00:00,20.1,20.1,1,5,20,99,1016,30,0.0,cloudy
2024-06-13 16:00:00,19.7,19.7,1,4,9,100,1016,34,0.0,cloudy
2024-06-13 17:00:00,18.9,18.9,2,4,5,100,1016,45,0.0,cloudy
2024-06-13 18:00:00,18.2,18.2,2,4,23,100,1016,48,0.0,cloudy
2024-06-13 19:00:00,16.6,16.6,3,7,315,100,1016,61,0.0,cloudy
2024-06-13 20:00:00,15.9,15.9,3,6,328,100,1016,64,0.0,cloudy
2024-06-13 21:00:00,15.0,15.0,3,7,273,100,1016,70,0.0,cloudy
2024-06-13 22:00:00,13.3,13.3,3,6,288,100,1016,89,0.9,rain
2024-06-13 23:00:00,12.4,12.4,3,6,263,100,1016,92,0.8,rain
2024-06-14 00:00:00,11.8,11.8,2,5,279,100,1017,95,1.5,rain
2024-06-14 01:00:00,11.6,11.6,2,4,295,100,1017,95,1.7,rain
2024-06-14 02:00:00,11.2,11.2,2,5,313,100,1017,95,1.5,rain
2024-06-14 03:00:00,11.1,11.1,2,4,336,100,1016,95,2.1,heavy-rain
2024-06-14 04:00:00,11.2,11.2,2,5,359,100,1016,96,2.4,heavy-rain
2024-06-14 05:00:00,11.5,11.5,2,5,5,100,1016,95,1.0,rain
2024-06-14 06:00:00,11.7,11.7,2,5,7,100,1016,95,0.4,rain
2024-06-14 07:00:00,12.0,12.0,2,4,21,100,1016,95,0.2,light-rain
2024-06-14 08:00:00,12.5,12.5,1,4,350,100,1016,95,0.1,light-rain
2024-06-14 09:00:00,12.9,12.9,2,4,313,100,1017,94,0.1,light-rain
2024-06-14 10:00:00,13.0,13.0,2,4,354,100,1017,94,0.8,rain
2024-06-14 11:00:00,13.2,13.2,1,3,39,100,1017,91,0.7,rain
2024-06-14 12:00:00,15.3,15.3,1,3,79,20,1016,81,0.0,partly-cloudy
2024-06-14 13:00:00,16.2,16.2,1,3,328,99,1016,76,0.0,cloudy
2024-06-14 14:00:00,16.6,16.6,1,4,355,61,1016,75,0.0,cloudy-with-sunny-intervals
2024-06-14 15:00:00,16.3,16.3,2,6,41,80,1016,78,0.0,cloudy
2024-06-14 16:00:00,16.4,16.4,2,5,23,95,1016,76,0.0,cloudy
2024-06-14 17:00:00,16.0,16.0,1,5,48,21,1017,77,0.0,partly-cloudy
2024-06-14 18:00:00,15.5,15.5,1,3,48,31,1017,83,0.0,partly-cloudy
2024-06-14 19:00:00,14.3,14.3,1,2,61,98,1017,84,0.0,cloudy
2024-06-14 20:00:00,13.4,13.4,1,1,27,100,1017,87,0.0,cloudy
2024-06-14 21:00:00,12.5,12.5,1,1,73,93,1017,89,0.0,cloudy
2024-06-14 22:00:00,11.7,11.7,0,1,109,81,1017,92,0.0,cloudy
2024-06-14 23:00:00,11.0,11.0,1,1,122,84,1017,93,0.0,cloudy
2024-06-15 00:00:00,10.6,10.6,1,1,115,100,1017,94,0.0,cloudy
2024-06-15 01:00:00,10.2,10.2,1,1,135,88,1017,94,0.0,cloudy
2024-06-15 02:00:00,9.8,9.8,1,1,105,93,1017,94,0.0,cloudy
2024-06-15 03:00:00,10.1,10.1,1,1,92,99,1017,94,0.0,cloudy
2024-06-15 04:00:00,11.9,11.9,1,2,75,86,1017,92,0.0,cloudy
2024-06-15 05:00:00,14.1,14.1,1,3,73,0,1017,85,0.0,clear
2024-06-15 06:00:00,15.8,15.8,2,4,80,5,1017,77,0.0,clear
2024-06-15 07:00:00,17.0,17.0,2,5,101,8,1017,68,0.0,clear
2024-06-15 08:00:00,18.0,18.0,1,5,110,21,1016,61,0.0,partly-cloudy
2024-06-15 09:00:00,19.2,19.2,1,5,94,25,1016,56,0.0,partly-cloudy
2024-06-15 10:00:00,20.1,20.1,2,6,89,32,1016,51,0.0,partly-cloudy
2024-06-15 11:00:00,20.8,20.8,2,6,95,31,1016,47,0.0,partly-cloudy
2024-06-15 12:00:00,21.1,21.1,2,6,109,63,1016,44,0.0,cloudy-with-sunny-intervals
2024-06-15 15:00:00,21.2,21.2,2,5,111,63,1014,41,0.0,cloudy-with-sunny-intervals
2024-06-15 18:00:00,18.5,18.5,2,4,110,47,1014,68,0.0,partly-cloudy
2024-06-15 21:00:00,14.8,14.8,3,4,112,5,1015,83,0.0,clear
2024-06-16 00:00:00,14.0,14.0,3,5,107,8,1014,85,0.0,clear
2024-06-16 03:00:00,14.2,14.2,3,5,111,29,1014,85,0.0,partly-cloudy
2024-06-16 06:00:00,18.4,18.4,2,6,108,57,1015,74,0.2,light-rain
2024-06-16 09:00:00,22.4,22.4,3,8,145,79,1014,61,0.0,cloudy
2024-06-16 12:00:00,21.6,21.6,4,8,140,74,1013,64,0.5,light-rain
2024-06-16 15:00:00,21.8,21.8,3,7,133,84,1013,65,0.5,light-rain
2024-06-16 18:00:00,18.7,18.7,3,5,148,89,1014,87,0.7,rain
2024-06-16 21:00:00,16.5,16.5,1,7,91,32,1014,96,0.6,rain
2024-06-17 00:00:00,14.9,14.9,2,4,147,100,1014,95,0.2,light-rain
2024-06-17 03:00:00,15.6,15.6,1,3,186,100,1014,96,0.0,cloudy
2024-06-17 06:00:00,20.1,20.1,1,4,277,16,1015,86,0.0,clear
2024-06-17 09:00:00,23.3,23.4,2,5,308,18,1015,65,0.0,clear
2024-06-17 12:00:00,24.4,24.3,3,6,310,28,1015,52,0.0,partly-cloudy
2024-06-17 15:00:00,23.5,23.3,4,8,305,26,1015,55,0.3,light-rain
2024-06-17 18:00:00,20.8,20.8,1,8,331,54,1016,75,0.0,cloudy-with-sunny-intervals
2024-06-17 21:00:00,17.5,17.5,2,5,20,2,1017,86,0.0,clear
2024-06-18 00:00:00,15.1,15.1,2,4,15,0,1017,96,0.0,clear
2024-06-18 03:00:00,14.9,14.9,2,3,356,0,1018,98,0.0,clear
2024-06-18 06:00:00,20.2,20.2,2,4,34,12,1018,79,0.0,clear
2024-06-18 09:00:00,23.7,23.2,2,6,354,100,1018,41,0.0,cloudy
2024-06-18 12:00:00,25.1,24.4,2,6,327,0,1017,30,0.0,clear
2024-06-18 15:00:00,25.0,24.4,2,6,326,6,1017,31,0.0,clear
2024-06-18 18:00:00,21.6,21.6,2,4,70,100,1016,65,0.0,cloudy
