forecastTimeUtc,airTemperature,feelsLikeTemperature,windSpeed,windGust,windDirection,cloudCover,seaLevelPressure,relativeHumidity,totalPrecipitation,conditionCode
2024-05-24 11:00:00,27.1,27.1,5,11,130,0,1024,10.0,0.0,clear
2024-05-24 12:00:00,27.5,27.5,5,12,133,0,1024,7.0,0.0,clear
2024-05-24 13:00:00,27.5,27.5,5,12,134,0,1024,8.0,0.0,clear
2024-05-24 14:00:00,27.3,27.3,5,12,133,1,1023,11.0,0.0,clear
2024-05-24 15:00:00,26.7,26.7,5,11,132,2,1023,16.0,0.0,clear
2024-05-24 16:00:00,25.9,25.9,5,11,131,0,1023,21.0,0.0,clear
2024-05-24 17:00:00,24.8,24.8,5,10,134,0,1023,27.0,0.0,clear
2024-05-24 18:00:00,23.4,22.7,4,10,132,0,1024,36.0,0.0,clear
2024-05-24 19:00:00,21.7,21.7,3,7,130,0,1024,43.0,0.0,clear
2024-05-24 20:00:00,20.4,20.4,3,6,128,0,1024,50.0,0.0,clear
2024-05-24 21:00:00,19.6,19.6,4,6,130,0,1024,51.0,0.0,clear
2024-05-24 22:00:00,19.1,19.1,4,7,141,0,1024,53.0,0.0,clear
2024-05-24 23:00:00,18.8,18.8,4,7,144,2,1024,52.0,0.0,clear
2024-05-25 00:00:00,19.0,19.0,4,7,154,88,1024,46.0,0.0,cloudy
2024-05-25 01:00:00,19.0,19.0,4,8,155,9,1024,43.0,0.0,clear
2024-05-25 02:00:00,18.2,18.2,4,8,153,0,1024,44.0,0.0,clear
2024-05-25 03:00:00,17.9,17.9,4,7,146,0,1024,47.0,0.0,clear
2024-05-25 04:00:00,18.9,18.9,4,7,139,0,1024,43.0,0.0,clear
2024-05-25 05:00:00,20.5,20.5,4,8,136,0,1024,35.0,0.0,clear
2024-05-25 06:00:00,22.3,22.3,3,8,137,0,1024,26.0,0.0,clear
2024-05-25 07:00:00,24.1,24.1,3,7,140,0,1024,19.0,0.0,clear
2024-05-25 08:00:00,25.6,25.6,3,8,142,0,1024,14.0,0.0,clear
2024-05-25 09:00:00,26.7,26.7,4,9,142,0,1024,11.0,0.0,clear
2024-05-25 10:00:00,27.6,27.6,4,10,145,0,1024,8.0,0.0,clear
2024-05-25 11:00:00,28.0,28.0,4,10,148,0,1023,8.0,0.0,clear
2024-05-25 12:00:00,27.2,27.2,3,10,146,92,1023,11.0,0.0,cloudy
2024-05-25 13:00:00,28.1,28.1,3,8,129,18,1022,8.0,0.0,clear
2024-05-25 14:00:00,16.1,16.1,10,22,189,100,1024,74.0,3.1,heavy-rain-with-thunderstorms
2024-05-25 15:00:00,17.8,17.8,3,17,246,100,1022,68.0,0.1,light-rain
2024-05-25 16:00:00,19.2,19.2,3,9,76,100,1023,65.0,0.0,cloudy
2024-05-25 17:00:00,20.1,20.1,2,5,134,97,1023,72.0,0.0,cloudy
2024-05-25 18:00:00,19.7,19.7,1,4,107,100,1023,77.0,0.0,cloudy
2024-05-25 19:00:00,18.6,18.6,2,3,85,64,1023,73.0,0.0,cloudy-with-sunny-intervals
2024-05-25 20:00:00,17.5,17.5,2,3,95,19,1024,77.0,0.0,clear
2024-05-25 21:00:00,16.8,16.8,1,3,124,16,1024,80.0,0.0,clear
2024-05-25 22:00:00,16.6,16.6,2,3,130,9,1024,77.0,0.0,clear
2024-05-25 23:00:00,16.2,16.2,2,3,138,59,1024,74.0,0.0,cloudy-with-sunny-intervals
2024-05-26 00:00:00,16.6,16.6,3,4,172,80,1024,74.0,0.0,cloudy
2024-05-26 01:00:00,16.1,16.1,2,4,164,100,1024,73.0,0.0,cloudy
2024-05-26 02:00:00,15.7,15.7,1,3,105,100,1024,73.0,0.0,cloudy
2024-05-26 03:00:00,15.8,15.8,2,3,97,68,1024,73.0,0.0,cloudy-with-sunny-intervals
2024-05-26 04:00:00,17.0,17.0,2,4,99,6,1024,70.0,0.0,clear
2024-05-26 05:00:00,19.1,19.1,2,4,115,19,1024,63.0,0.0,clear
2024-05-26 06:00:00,21.3,21.3,2,4,129,24,1025,46.0,0.0,partly-cloudy
2024-05-26 07:00:00,22.8,22.8,2,6,149,21,1025,26.0,0.0,partly-cloudy
2024-05-26 08:00:00,24.1,24.1,2,7,147,32,1025,16.0,0.0,partly-cloudy
2024-05-26 09:00:00,25.4,25.4,3,8,150,2,1025,8.0,0.0,clear
2024-05-26 10:00:00,26.6,26.6,3,8,151,0,1024,,0.0,clear
2024-05-26 11:00:00,27.2,27.2,3,9,154,0,1024,,0.0,clear
2024-05-26 12:00:00,27.6,27.6,4,10,160,0,1024,,0.0,clear
2024-05-26 13:00:00,27.8,27.8,4,10,163,0,1024,,0.0,clear
2024-05-26 14:00:00,27.7,27.7,4,10,165,0,1023,,0.0,clear
2024-05-26 15:00:00,27.4,27.4,3,9,164,2,1023,,0.0,clear
2024-05-26 18:00:00,19.7,19.7,3,6,117,0,1024,42.0,0.0,clear
2024-05-26 21:00:00,15.7,15.7,2,4,152,10,1024,57.0,0.0,clear
2024-05-27 00:00:00,12.7,12.7,2,4,159,11,1024,72.0,0.0,clear
2024-05-27 03:00:00,12.8,12.8,2,3,122,0,1025,72.0,0.0,clear
2024-05-27 06:00:00,21.1,21.1,2,4,106,62,1025,50.0,0.0,cloudy-with-sunny-intervals
2024-05-27 09:00:00,24.6,24.6,4,8,135,94,1024,18.0,0.0,cloudy
2024-05-27 12:00:00,25.8,25.8,3,8,136,100,1023,13.0,0.0,cloudy
2024-05-27 15:00:00,25.4,25.4,3,6,118,47,1022,13.0,0.0,partly-cloudy
2024-05-27 18:00:00,20.5,20.5,2,3,142,93,1022,60.0,0.0,cloudy
2024-05-27 21:00:00,15.4,15.4,2,3,147,72,1022,80.0,0.0,cloudy-with-sunny-intervals
2024-05-28 00:00:00,14.1,14.1,2,4,147,0,1022,78.0,0.0,clear
2024-05-28 03:00:00,14.3,14.3,2,3,142,0,1022,79.0,0.0,clear
2024-05-28 06:00:00,21.9,21.9,2,5,133,0,1022,51.0,0.0,clear
2024-05-28 09:00:00,25.0,25.0,3,7,147,1,1022,22.0,0.0,clear
2024-05-28 12:00:00,26.4,26.4,2,7,164,20,1021,13.0,0.0,clear
2024-05-28 15:00:00,26.4,26.4,2,6,145,68,1019,7.0,0.0,cloudy-with-sunny-intervals
2024-05-28 18:00:00,21.5,21.5,2,5,120,23,1019,58.0,0.0,clear
2024-05-28 21:00:00,17.3,17.3,2,4,98,24,1020,72.0,0.0,clear
2024-05-29 00:00:00,16.3,16.3,3,4,120,71,1019,74.0,0.0,cloudy-with-sunny-intervals
2024-05-29 03:00:00,17.3,17.3,3,5,117,28,1019,69.0,0.0,partly-cloudy
2024-05-29 06:00:00,22.9,22.9,2,5,111,23,1018,51.0,0.0,clear
2024-05-29 09:00:00,26.0,26.0,2,6,118,11,1018,28.0,0.0,clear
2024-05-29 12:00:00,23.9,23.5,2,9,91,69,1017,46.0,1.3,rain
2024-05-29 15:00:00,22.9,22.9,1,6,73,82,1016,53.0,0.8,rain
2024-05-29 18:00:00,20.1,20.1,1,3,50,76,1015,77.0,0.0,cloudy
2024-05-29 21:00:00,16.5,16.5,2,3,122,2,1015,89.0,0.0,clear
2024-05-30 00:00:00,14.9,14.9,2,3,127,8,1014,94.0,0.0,clear
2024-05-30 06:00:00,21.1,21.1,1,4,139,71,1013,70.0,0.0,cloudy-with-sunny-intervals
2024-05-30 12:00:00,22.4,22.4,3,9,152,77,1011,54.0,1.5,rain
2024-05-30 18:00:00,21.1,21.1,1,7,238,26,1010,61.0,0.4,light-rain
2024-05-31 00:00:00,14.9,14.9,2,4,154,2,1011,83.0,0.0,clear
2024-05-31 06:00:00,20.2,20.2,2,5,143,6,1011,71.0,0.0,clear
